site,fiscal_year,week_sum,incidents_ytd,fclm_hours,process_path,incidents_weekly,avg_hours_per_path,avg_incident_per_path,fclm_hours_4wk_std,incident_4wk_std,incidents_per_1k_hours,hours_deviation,deviation_pct,process_path_rank,top_3_flag_path,incident_drop,incident_spike,hours_drop,hours_spike
teb3,2025,3,0,245.97,container move,0,241.85,0.0,6.995946445382616,0.0,0.0,4.1200000000000045,0.01703535249121358,4,0,0,0,0,1
teb3,2025,3,0,83.24,cubiscan,0,54.379999999999995,0.0,20.719504498579756,0.0,0.0,28.86,0.5307098197866863,4,0,0,0,0,1
teb3,2025,3,0,1084.12,each transfer in,0,985.88,0.0,197.9119401821592,0.0,0.0,98.2399999999999,0.09964701586399957,4,0,0,0,0,1
teb3,2025,3,0,1305.3,each-receive,0,1068.9533333333331,0.0,210.13813002139653,0.0,0.0,236.3466666666668,0.2211010146997376,4,0,0,0,0,1
teb3,2025,3,0,45.85,gift-wrap,0,19.92,0.0,18.343076804796592,0.0,0.0,25.93,1.301706827309237,4,0,0,0,0,1
teb3,2025,3,0,468.85,ib problem solve,0,413.3566666666666,0.0,53.661664984315586,0.0,0.0,55.493333333333396,0.13425048585966937,4,0,0,0,0,1
teb3,2025,3,0,127.78,inbound lead/pa,0,140.68333333333334,0.0,9.862191552703651,0.0,0.0,-12.903333333333336,-0.09171899064091935,4,0,0,0,1,0
teb3,2025,3,0,99.87,lp-receive,0,80.68333333333334,0.0,17.48554132863936,0.0,0.0,19.186666666666667,0.2378021070026854,4,0,0,0,0,1
teb3,2025,3,0,122.74,ob problem solve,0,126.44666666666666,0.0,19.7542389262547,0.0,0.0,-3.7066666666666634,-0.029314071808931277,4,0,0,0,1,0
teb3,2025,3,0,178.92,on boarding,0,140.73666666666665,0.0,100.99809646171009,0.0,0.0,38.18333333333334,0.271310485303522,4,0,0,0,0,1
teb3,2025,3,0,396.52,outbound lead/pa,0,342.91333333333336,0.0,56.24983575284638,0.0,0.0,53.60666666666663,0.15632715749363285,4,0,0,0,0,1
teb3,2025,3,0,487.11,pack multis,0,470.16333333333336,0.0,33.86302047301036,0.0,0.0,16.94666666666666,0.036044211586044546,4,0,0,0,0,1
teb3,2025,3,0,1658.27,pack singles,0,1733.0199999999998,0.0,53.15089149456901,0.0,0.0,-74.74999999999977,-0.04313279708254941,4,0,0,0,1,0
teb3,2025,3,0,658.93,pack support,0,639.2333333333333,0.0,50.68377934693671,0.0,0.0,19.6966666666666,0.030812953016634406,4,0,0,0,0,1
teb3,2025,3,0,205.68,pallet transfer in,0,190.03666666666666,0.0,22.898084830153202,0.0,0.0,15.643333333333345,0.08231744751012969,4,0,0,0,0,1
teb3,2025,3,0,64.13,pallet-receive,0,72.83333333333333,0.0,14.223408717869184,0.0,0.0,-8.703333333333333,-0.11949656750572082,4,0,0,0,1,0
teb3,2025,3,0,5118.89,pick,0,5060.27,0.0,132.3654282658343,0.0,0.0,58.61999999999989,0.01158436209925555,4,0,0,0,0,1
teb3,2025,3,0,815.06,pick support,0,802.86,0.0,155.7897944881711,0.0,0.0,12.199999999999932,0.015195675460229595,4,0,0,0,0,1
teb3,2025,3,0,72.0,prep recorder,0,89.16333333333334,0.0,15.20331615872737,0.0,0.0,-17.16333333333334,-0.1924931773150399,4,0,0,0,1,0
teb3,2025,3,0,591.0,receive dock,0,533.0166666666667,0.0,45.13233307606538,0.0,0.0,57.98333333333335,0.10878334010818927,4,0,0,0,0,1
teb3,2025,3,0,598.65,receive-support,0,483.3866666666666,0.0,82.6872929912586,0.0,0.0,115.26333333333338,0.23844955039443935,4,0,0,0,0,1
teb3,2025,3,0,1593.97,rsr support,0,1371.0433333333333,0.0,257.8852780253703,0.0,0.0,222.92666666666673,0.16259636821593293,4,0,0,0,0,1
teb3,2025,3,0,155.09,ship dock lead/pa,0,122.25666666666666,0.0,29.170507175722715,0.0,0.0,32.83333333333334,0.26856067835428205,4,0,0,0,0,1
teb3,2025,3,0,113.15,ship dock support,0,106.21,0.0,6.712912929571061,0.0,0.0,6.940000000000012,0.0653422464927974,4,0,0,0,0,1
teb3,2025,3,0,7.06,sort support,0,7.06,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0
teb3,2025,3,0,323.31,sort-batch,0,324.96999999999997,0.0,20.209746823418484,0.0,0.0,-1.6599999999999682,-0.005108163830507334,4,0,0,0,1,0
teb3,2025,3,0,645.63,stow to prime spt,0,483.59999999999997,0.0,288.83284243081965,0.0,0.0,162.03000000000003,0.3350496277915634,4,0,0,0,0,1
teb3,2025,3,0,673.24,transfer in dock,0,694.8933333333334,0.0,89.47689099550853,0.0,0.0,-21.65333333333342,-0.031160657750829986,4,0,0,0,1,0
teb3,2025,3,0,414.6,transfer in support,0,356.12000000000006,0.0,73.40504614806784,0.0,0.0,58.47999999999996,0.164214309783219,4,0,0,0,0,1
teb3,2025,3,0,273.45,transfer out,0,311.0133333333333,0.0,32.09941467102223,0.0,0.0,-37.56333333333333,-0.12077724427677271,4,0,0,0,1,0
teb3,2025,3,0,168.64,transfer out dock,0,135.19666666666666,0.0,23.67163468983268,0.0,0.0,33.44333333333333,0.24736803175620697,4,0,0,0,0,1
teb3,2025,3,0,48.98,transfer out lead/pa,0,48.47666666666667,0.0,7.68739372103589,0.0,0.0,0.5033333333333303,0.010383002131609647,4,0,0,0,0,1
teb3,2025,3,0,5.79,unrecognizedprocess,0,6.513333333333333,0.0,0.552227811284044,0.0,0.0,-0.7233333333333327,-0.11105424769703165,4,0,0,0,1,0
teb3,2025,3,0,28.88,v-returns pack,0,15.399999999999999,0.0,9.673441304244665,0.0,0.0,13.48,0.8753246753246754,4,0,0,0,0,1
teb3,2025,3,0,157.26,v-returns pick,0,124.60666666666667,0.0,23.25180614251047,0.0,0.0,32.65333333333332,0.2620512546145203,4,0,0,0,0,1
teb3,2025,3,0,2.62,v-returns rvr,0,1.76,0.0,0.8600000000000001,0.0,0.0,0.8600000000000001,0.4886363636363637,4,0,0,0,0,1
teb3,2025,3,0,77.53,v-returns support,0,85.61666666666667,0.0,27.999887301360495,0.0,0.0,-8.086666666666673,-0.09445201479462728,4,0,0,0,1,0
teb3,2025,3,0,32.84,whd grading,0,35.88333333333333,0.0,3.0257157096388765,0.0,0.0,-3.0433333333333294,-0.08481189038550849,4,0,0,0,1,0
teb3,2025,3,0,144.71,whd grading support,0,114.69333333333334,0.0,24.24618503783408,0.0,0.0,30.016666666666666,0.2617123924668681,4,0,0,0,0,1
teb3,2025,3,0,1973.69,ic-qa-cs,-1,1758.22,0.0,329.11301189712896,0.816496580927726,-0.506665180448804,215.47000000000003,0.12255007905722835,49,0,1,0,0,1
teb3,2025,4,1,1382.72,each-receive,1,1147.395,0.25,227.10748661151607,0.4330127018922193,0.7232122193936589,235.32500000000005,0.20509501958784904,1,1,0,1,0,1
teb3,2025,4,1,5063.97,pick,1,5061.195,0.25,114.64301908535194,0.4330127018922193,0.19747352373730492,2.7750000000005457,0.0005482894849932764,2,1,0,1,0,1
teb3,2025,4,0,476.42,,0,454.58500000000004,0.0,43.550419343560655,0.0,0.0,21.83499999999998,0.048032821144560374,3,1,0,0,0,1
teb3,2025,4,0,91.31,box on demand,0,130.29250000000002,0.0,25.00195429861425,0.0,0.0,-38.982500000000016,-0.2991922021605235,3,1,0,0,1,0
